Course Name,Study Material,Previous Exams Link
Introduction to Computer Science,"Start with CS50 Harvard's Introduction to Computer Science. Watch each lecture weekly, complete problem sets, and use the official notes for revision. Supplement with interactive platforms like Codecademy or freeCodeCamp to practice programming basics in C and Python.",https://example.com/exams/cs101
Data Structures and Algorithms,"Begin by reading 'Introduction to Algorithms' (CLRS) alongside solving problems on LeetCode. Watch visual tutorials on YouTube (e.g., Abdul Bari’s playlist). Focus weekly on one data structure or algorithm and implement it in code.",https://example.com/exams/dsa
Database Systems,"Follow the book 'Database System Concepts' by Silberschatz. Start with relational models, then move to SQL queries. Practice with MySQL or PostgreSQL. Use DB diagram tools for ER modeling exercises.",https://example.com/exams/db
Operating Systems,"Use 'Modern Operating Systems' by Tanenbaum. Study one module per week (e.g., processes, threads, memory). Simulate OS concepts using tools like OS Simulator or writing simple process schedulers in C.",https://example.com/exams/os
Computer Networks,Read 'Computer Networking: A Top-Down Approach' by Kurose. Follow with Packet Tracer labs to simulate networking setups. Use NPTEL or Cisco tutorials for hands-on labs.,https://example.com/exams/networks
Software Engineering,"Start with Sommerville's 'Software Engineering'. Study software development life cycles, UML diagrams, and Agile principles. Practice by managing a small project using tools like Trello and GitHub.",https://example.com/exams/se
Web Development,"Begin with HTML/CSS on freeCodeCamp, then move to JavaScript. Practice with simple projects (e.g., portfolio website). Study responsive design using MDN Docs and frameworks like Bootstrap.",https://example.com/exams/web
Artificial Intelligence,"Follow 'AI: A Modern Approach' for concepts. Take the Stanford AI course online. Focus on search algorithms, logic, and machine learning basics. Apply knowledge by building small AI games or agents.",https://example.com/exams/ai
Machine Learning,"Start with Andrew Ng's ML course on Coursera. Practice with scikit-learn on small datasets. Learn concepts like overfitting, bias-variance, and model evaluation using hands-on notebooks.",https://example.com/exams/ml
Cybersecurity,Begin with 'Kali Linux Revealed' for penetration testing. Follow up with Cybrary modules on ethical hacking. Practice on platforms like TryHackMe or Hack The Box. Cover encryption and secure protocols.,https://example.com/exams/cybersecurity
